%user,%system,%iowait,%idle
14.71,6.35,6.63,72.31
38.33,45.18,12.30,4.19
38.09,45.58,14.05,2.28
38.77,44.93,14.22,2.08
38.17,44.96,14.93,1.95
37.95,44.82,15.26,1.97
38.37,44.32,15.37,1.94
38.71,43.44,16.05,1.81
37.45,43.28,17.26,2.01
37.94,42.79,17.23,2.03
38.14,42.92,16.96,1.98
38.17,42.43,17.44,1.96
38.41,43.23,16.48,1.88
38.71,43.60,15.99,1.70
38.75,43.43,16.11,1.71
38.90,42.57,16.65,1.87
38.43,42.68,16.98,1.91
38.93,43.36,15.75,1.96
37.82,43.77,16.60,1.82
37.69,43.03,17.45,1.83
38.62,43.46,16.11,1.80
38.08,43.41,16.69,1.82
38.50,43.69,16.03,1.78
38.08,44.35,15.66,1.91
37.07,43.98,17.10,1.86
37.12,44.45,16.60,1.83
36.80,44.27,17.17,1.75
36.86,45.04,16.40,1.69
36.77,45.27,16.24,1.71
38.23,42.17,17.70,1.90
36.18,45.70,16.22,1.90
37.20,44.05,16.82,1.93
37.32,43.62,17.26,1.80
36.54,44.13,16.76,2.57
36.72,45.46,15.93,1.89
36.32,44.54,16.77,2.37
37.71,43.24,17.15,1.90
37.85,42.95,17.27,1.93
36.08,44.87,17.20,1.85
37.71,43.07,17.36,1.85
38.53,42.01,17.49,1.97
37.09,44.00,17.12,1.79
38.02,43.57,16.39,2.02
37.13,42.17,18.79,1.91
37.06,44.64,16.58,1.72
36.27,44.79,17.22,1.72
36.58,44.97,16.67,1.77
35.83,45.34,17.01,1.82
35.98,43.78,18.43,1.81
36.09,42.65,19.48,1.78
36.27,43.51,18.35,1.88
37.18,44.21,16.81,1.80
35.15,45.02,18.10,1.73
35.66,44.23,18.22,1.89
35.96,42.14,19.88,2.02
35.76,43.51,18.89,1.85
36.41,43.53,17.98,2.07
36.32,42.48,19.30,1.90
36.92,41.83,19.38,1.87
36.83,42.25,19.04,1.88
35.92,43.44,18.58,2.05
35.38,43.28,19.25,2.09
35.63,44.96,17.54,1.87
34.09,47.75,16.56,1.60
33.89,40.72,23.38,2.01
33.68,34.59,29.11,2.63
33.79,34.78,29.34,2.08
33.81,35.09,29.38,1.72
33.54,34.21,30.35,1.90
34.42,38.54,25.13,1.92
33.72,34.73,29.42,2.12
34.05,38.20,25.96,1.78
33.97,34.68,29.24,2.11
33.86,33.99,29.77,2.38
34.15,35.58,28.28,1.98
35.96,38.84,23.36,1.84
38.04,40.20,19.80,1.96
37.13,39.02,21.74,2.10
37.30,40.15,20.54,2.01
38.68,41.01,18.27,2.03
37.49,43.10,17.69,1.72
36.93,41.28,19.77,2.02
35.21,44.79,17.95,2.06
35.60,39.83,22.52,2.05
37.01,40.32,20.61,2.06
37.13,43.29,17.75,1.82
35.93,40.36,22.14,1.56
35.60,44.20,18.51,1.69
36.62,42.89,18.55,1.94
34.19,44.37,18.69,2.75
34.34,38.24,25.63,1.79
37.32,46.11,14.57,2.01
36.50,43.42,18.50,1.59
36.11,44.99,17.25,1.66
37.31,41.25,19.57,1.86
36.46,36.66,25.00,1.87
34.38,37.86,25.81,1.95
36.62,40.07,21.54,1.77
36.89,44.84,16.52,1.74
36.82,40.52,21.03,1.63
37.38,40.92,19.82,1.88
35.03,36.12,26.76,2.08
36.25,41.12,20.92,1.71
35.72,37.76,24.76,1.77
36.27,38.16,23.73,1.84
39.19,42.60,16.37,1.84
36.41,39.07,22.68,1.84
36.35,41.82,20.20,1.63
34.79,34.58,28.79,1.84
35.74,37.92,24.42,1.92
37.31,42.38,18.65,1.65
37.00,41.14,19.88,1.98
35.12,34.85,28.34,1.69
34.98,36.79,26.49,1.74
38.14,42.70,17.38,1.78
35.88,40.35,21.82,1.95
38.90,41.06,18.09,1.95
36.17,37.96,24.23,1.64
36.14,37.94,23.57,2.35
34.77,34.41,28.97,1.85
37.57,41.20,19.30,1.93
35.92,38.99,23.09,2.00
34.65,35.08,28.03,2.24
34.46,35.10,28.07,2.37
36.26,40.20,21.93,1.60
37.37,40.85,19.75,2.03
36.44,39.44,22.22,1.89
34.75,34.67,28.81,1.77
35.02,41.10,22.13,1.75
35.94,38.78,23.45,1.83
36.56,36.90,24.59,1.96
36.08,37.50,24.39,2.03
37.47,38.66,21.91,1.97
38.56,41.35,18.26,1.84
36.50,38.76,22.78,1.96
34.78,35.94,27.08,2.20
37.84,39.49,20.83,1.85
34.65,35.22,28.03,2.10
35.61,36.29,25.99,2.12
38.32,39.96,19.61,2.11
36.49,39.12,22.56,1.83
37.69,41.57,18.59,2.15
35.15,35.67,26.86,2.32
38.88,41.46,17.71,1.96
34.48,35.04,28.42,2.06
34.49,34.03,29.34,2.15
34.50,35.09,28.67,1.73
35.70,37.74,24.60,1.96
35.98,37.35,24.61,2.06
34.71,35.62,27.42,2.25
34.51,36.47,27.14,1.88
37.98,41.71,18.46,1.85
37.06,39.52,21.11,2.31
35.73,36.14,26.26,1.87
34.26,34.47,29.20,2.07
33.97,34.19,29.77,2.07
33.86,33.51,30.69,1.95
34.39,36.29,27.47,1.85
39.36,42.81,16.07,1.76
35.19,35.67,27.06,2.08
34.31,34.00,29.45,2.23
34.33,34.21,29.02,2.45
34.23,33.99,30.05,1.73
34.90,34.95,28.02,2.13
39.85,41.42,16.75,1.98
38.87,39.71,19.45,1.98
35.66,36.26,26.24,1.83
37.74,38.52,21.57,2.17
36.48,37.94,23.55,2.03
36.88,40.25,20.96,1.90
39.09,40.20,18.70,2.02
35.24,36.52,26.46,1.78
39.37,40.96,17.75,1.92
35.67,35.95,26.23,2.15
37.97,39.59,20.38,2.06
34.80,36.19,26.91,2.10
38.76,41.55,17.88,1.81
34.14,33.59,29.92,2.35
37.94,42.05,18.23,1.77
