thrds,tps,qps,99% latency
64,4752.44,76039.24,19.65
64,4630.33,74084.25,19.29
64,4630.69,74083.64,19.29
64,4636.31,74193.79,19.29
64,4623.16,73958.61,20.00
64,4625.53,74010.95,19.29
64,4629.94,74090.58,19.29
64,4632.73,74108.66,19.29
64,4626.27,74036.74,19.29
64,4628.63,74054.85,19.29
64,4629.64,74086.19,18.95
64,4630.78,74075.05,19.29
64,4627.19,74041.60,19.29
64,4628.70,74053.98,18.61
64,4628.71,74065.33,17.95
64,4615.50,73846.57,20.00
64,4628.68,74064.14,19.65
64,4633.43,74120.49,18.95
64,4609.01,73753.52,20.00
64,4598.56,73567.51,20.74
64,4633.25,74145.78,19.29
64,4631.95,74107.94,19.29
64,4629.39,74060.71,19.29
64,4621.03,73947.14,19.29
64,4625.22,73987.98,18.95
64,4630.13,74099.25,20.00
64,4633.45,74116.88,19.29
64,4624.61,74014.89,19.29
64,4629.13,74058.03,19.29
64,4629.24,74065.22,19.29
64,4620.34,73932.71,18.95
64,4625.27,73996.04,19.29
64,4634.78,74152.94,19.29
64,4616.96,73874.29,19.29
64,4625.82,74011.09,19.29
64,4612.85,73817.84,19.65
64,4629.21,74055.63,19.29
64,4625.99,74023.11,19.29
64,4619.77,73909.74,20.00
64,4603.20,73654.41,20.00
64,4610.22,73765.11,18.61
64,4628.42,74047.77,18.95
64,4622.55,73976.95,18.61
64,4616.21,73842.31,18.95
64,4613.01,73818.55,18.95
64,4630.44,74081.04,18.95
64,4618.77,73901.72,18.61
64,4600.98,73625.12,19.29
64,4618.61,73892.14,18.95
64,4618.44,73894.82,18.61
64,4615.73,73856.27,19.29
64,4615.77,73841.16,18.95
64,4607.40,73713.15,18.95
64,4611.43,73795.03,18.95
64,4612.60,73802.07,18.61
64,4594.57,73500.72,19.29
64,4604.43,73678.87,18.95
64,4617.79,73891.01,18.61
64,4594.18,73504.64,18.95
64,4587.64,73393.42,18.61
64,4604.77,73687.50,18.28
64,4603.81,73663.24,18.28
64,4596.22,73527.15,18.95
64,4598.61,73589.13,18.61
64,4607.04,73696.44,18.61
64,4594.53,73526.27,18.61
64,4601.87,73608.17,18.61
64,4615.93,73875.42,18.28
64,4610.38,73758.53,18.28
64,4617.64,73885.71,18.28
64,4609.28,73748.09,18.28
64,4620.93,73935.24,18.28
64,4608.37,73736.07,18.28
64,4609.59,73745.68,18.28
64,4602.80,73651.25,18.28
64,4608.79,73744.98,18.28
64,4610.01,73754.59,18.28
64,4615.59,73849.11,18.28
64,4612.40,73796.73,18.28
64,4617.03,73882.26,18.28
64,4610.59,73764.18,18.28
64,4605.00,73670.98,18.28
64,4611.61,73797.03,18.28
64,4623.99,73961.64,18.28
64,4612.26,73817.69,18.28
64,4609.32,73742.48,18.28
64,4621.53,73954.62,18.28
64,4610.33,73755.27,18.28
64,4605.05,73696.36,18.61
64,4615.71,73841.91,18.28
64,4613.28,73804.23,18.28
64,4614.09,73831.41,18.28
64,4615.29,73842.01,18.28
64,4621.02,73931.67,18.28
64,4608.79,73738.28,18.28
64,4606.23,73702.28,18.61
64,4612.18,73801.06,18.61
64,4611.00,73763.53,18.61
64,4599.56,73610.59,18.28
64,4609.98,73747.73,18.28
64,4620.17,73932.75,18.28
64,4602.12,73621.51,18.28
64,4613.75,73820.37,18.61
64,4610.57,73778.11,18.28
64,4608.32,73721.18,18.28
64,4619.32,73914.64,18.28
64,4603.50,73667.07,18.28
64,4617.32,73876.12,18.28
64,4613.81,73804.91,18.28
64,4611.80,73803.07,18.28
64,4609.14,73742.86,18.28
64,4613.05,73805.04,18.28
64,4601.38,73624.49,18.28
64,4615.23,73843.94,18.61
64,4613.12,73799.96,18.28
64,4611.60,73810.42,18.28
64,4614.85,73816.25,18.28
64,4606.99,73716.48,18.28
64,4610.63,73776.22,18.28
64,4603.99,73659.43,18.28
64,4622.75,73971.36,18.28
64,4607.88,73718.43,18.28
64,4607.15,73719.33,18.28
64,4614.43,73827.95,18.28
64,4608.61,73740.30,18.28
64,4613.38,73815.85,18.28
64,4605.38,73691.30,18.28
