qid,affinity
8,2
9,3
8,2
9,3
1,0
2,1
64,4
66,6
1,0
2,1
64,4
66,6
17,1
18,2
19,3
20,4
21,5
22,6
23,7
24,8
25,9
26,10
27,11
28,12
29,13
30,14
31,15
24,8
25,9
26,10
27,11
28,12
29,13
30,14
31,15
32,16
33,17
34,18
35,19
36,20
37,21
38,22
39,23
40,24
32,16
33,17
34,18
35,19
36,20
37,21
38,22
39,23
40,24
41,25
42,26
43,27
44,28
45,29
46,30
47,31
48,32
41,25
42,26
43,27
44,28
45,29
46,30
47,31
48,32
49,33
50,34
51,35
52,36
53,37
54,38
55,39
56,40
57,41
49,33
50,34
51,35
52,36
53,37
54,38
55,39
56,40
57,41
58,42
59,43
60,44
61,45
62,46
63,47
67,0
68,1
58,42
59,43
60,44
61,45
62,46
63,47
67,0
68,1
69,2
70,3
71,4
72,5
73,6
74,7
75,8
76,9
77,10
69,2
70,3
71,4
72,5
73,6
74,7
75,8
76,9
77,10
78,11
79,12
80,13
81,14
82,15
83,16
84,17
85,18
78,11
79,12
80,13
81,14
82,15
83,16
84,17
85,18
86,19
87,20
88,21
89,22
90,23
67,24
68,25
69,26
70,27
86,19
87,20
88,21
89,22
90,23
67,24
68,25
69,26
70,27
71,28
72,29
73,30
74,31
75,32
76,33
77,34
78,35
71,28
72,29
73,30
74,31
75,32
76,33
77,34
78,35
79,36
80,37
81,38
82,39
83,40
84,41
85,42
86,43
87,44
79,36
80,37
81,38
82,39
83,40
84,41
85,42
86,43
87,44
88,45
89,46
90,47
88,45
89,46
90,47
